implementation,action,num_rows,num_cols,filled,time
array,find: non-existing value,3,320,0.66,0.010144899999886547
linked_list,find: non-existing value,3,320,0.66,0.0022254000000430096
csr,find: non-existing value,3,320,0.66,0.024046599999564933
array,find: existing value,3,320,1.0,0.01241840000011507
linked_list,find: existing value,3,320,1.0,0.0026612999999997555
csr,find: existing value,3,320,1.0,0.02685040000005756
array,find: non-existing value,3,320,1.0,0.024090800000067247
linked_list,find: non-existing value,3,320,1.0,0.0028093999999327934
csr,find: non-existing value,3,320,1.0,0.02752250000003187
array,insert: row at start,10000,100,0.33,13.153189100000418
linked_list,insert: row at start,10000,100,0.33,0.44805980000001
csr,insert: row at start,10000,100,0.33,0.0003971000001001812
array,insert: row at end,10000,100,0.33,0.15373649999992267
linked_list,insert: row at end,10000,100,0.33,0.38247110000020257
csr,insert: row at end,10000,100,0.33,6.680000024061883e-05
array,insert: row after end,10000,100,0.33,8.209999987229821e-05
linked_list,insert: row after end,10000,100,0.33,0.1911021000000801
csr,insert: row after end,10000,100,0.33,4.9899999794433825e-05
array,insert: row into middle,10000,100,0.33,6.94389080000019
linked_list,insert: row into middle,10000,100,0.33,0.4233439999998154
csr,insert: row into middle,10000,100,0.33,0.00029910000012023374
array,insert: row at random pos.,10000,100,0.33,7.664208000000144
linked_list,insert: row at random pos.,10000,100,0.33,0.45332960000041567
csr,insert: row at random pos.,10000,100,0.33,0.0004770999998982006
array,insert: col at start,10000,100,0.33,37.78648280000016
linked_list,insert: col at start,10000,100,0.33,18.09789120000005
csr,insert: col at start,10000,100,0.33,4.0874360000002525
array,insert: col at end,10000,100,0.33,32.895140099999935
linked_list,insert: col at end,10000,100,0.33,48.15190380000013
csr,insert: col at end,10000,100,0.33,3.9288923000003706
array,insert: col after end,10000,100,0.33,3.370000013092067e-05
linked_list,insert: col after end,10000,100,0.33,1.4552002999998876
csr,insert: col after end,10000,100,0.33,4.2800000301213004e-05
array,insert: col into middle,10000,100,0.33,45.59655859999975
linked_list,insert: col into middle,10000,100,0.33,47.990309100000104
csr,insert: col into middle,10000,100,0.33,4.743045200000324
array,insert: col at random pos.,10000,100,0.33,56.76627980000012
linked_list,insert: col at random pos.,10000,100,0.33,77.04374469999993
csr,insert: col at random pos.,10000,100,0.33,4.261437999999998
array,insert: row at start,10000,100,0.66,15.879068400000051
linked_list,insert: row at start,10000,100,0.66,0.33788179999964996
csr,insert: row at start,10000,100,0.66,0.00038600000016231206
array,insert: row at end,10000,100,0.66,0.16684910000003583
linked_list,insert: row at end,10000,100,0.66,0.28420390000019324
csr,insert: row at end,10000,100,0.66,6.579999990208307e-05
array,insert: row after end,10000,100,0.66,2.969999968627235e-05
linked_list,insert: row after end,10000,100,0.66,0.12871549999999843
csr,insert: row after end,10000,100,0.66,4.380000018500141e-05
array,insert: row into middle,10000,100,0.66,8.0164663999999
linked_list,insert: row into middle,10000,100,0.66,0.3143205000001217
csr,insert: row into middle,10000,100,0.66,0.00023400000009132782
array,insert: row at random pos.,10000,100,0.66,8.183333599999969
linked_list,insert: row at random pos.,10000,100,0.66,0.34384840000029726
csr,insert: row at random pos.,10000,100,0.66,0.0010135999996236933
array,insert: col at start,10000,100,0.66,37.76401110000006
linked_list,insert: col at start,10000,100,0.66,15.618967599999905
csr,insert: col at start,10000,100,0.66,7.5402312999999594
array,insert: col at end,10000,100,0.66,42.13804260000006
linked_list,insert: col at end,10000,100,0.66,44.1054022000003
csr,insert: col at end,10000,100,0.66,9.08652579999989
array,insert: col after end,10000,100,0.66,3.120000019407598e-05
